taxon,p-value,q-value
Peptostreptococcus stomatis,7.303411175560584e-07,0.00019061903168213126
Fusobacterium nucleatum,2.854399503365724e-05,0.00372499135189227
Dialister pneumosintes,4.6233661936984686e-05,0.004022328588517668
Parvimonas micra,7.51418131752255e-05,0.004903003309683464
[Eubacterium] rectale,0.0003353379815765832,0.015764524514872542
Anaerostipes hadrus,0.00036240286241086305,0.015764524514872542
Streptococcus salivarius,0.0007461699109610848,0.027821478108691875
Anaerobutyricum hallii,0.0008719363813765859,0.028446924442411117
Gemella morbillorum,0.0011053508068799712,0.028849656059567252
Blautia wexlerae,0.0010627903193000973,0.028849656059567252
Ruminococcus bromii,0.0019523094780810127,0.046322979434467663
Roseburia intestinalis,0.0043041780158252566,0.09361587184419932
Ruminococcus bicirculans,0.004957672860217502,0.09418524637508348
Fusicatenibacter saccharivorans,0.005052082181038961,0.09418524637508348
Lachnospira eligens,0.005859753043039036,0.10195970294887924
Bacteroides nordii,0.006309449788986946,0.10292289968284957
Eubacterium ventriosum,0.007212043837992973,0.1107260848068333
Bifidobacterium longum,0.010596472516180438,0.15364885148461635
Solobacterium moorei,0.012355848005800151,0.16973033313230734
Desulfovibrio piger,0.01367765533768816,0.16999371633983856
Streptococcus sanguinis,0.013435639057120677,0.16999371633983856
Clostridium sp. CAG:58,0.01515982514058621,0.17203105920404352
Dorea formicigenerans,0.014597917219818866,0.17203105920404352
Gemmiger formicilis,0.016561491579334828,0.18010622092526626
Phocaeicola plebeius,0.01819223577166799,0.18992694145621383
Eubacterium ramulus,0.019454406660728608,0.19529231301731412
Anaerotignum lactatifermentans,0.022467539528582343,0.21718621544296265
Streptococcus sp. A12,0.025094091667280542,0.21831859750534072
Ruminococcaceae bacterium D5,0.0245291483869596,0.21831859750534072
Bacteroides xylanisolvens,0.02434764916035707,0.21831859750534072
Ruthenibacterium lactatiformans,0.029303053332130485,0.22301529985121912
Actinomyces sp. ICM47,0.029153858340460612,0.22301529985121912
[Clostridium] symbiosum,0.02927722685978587,0.22301529985121912
[Ruminococcus] lactaris,0.029906266263573445,0.22301529985121912
Faecalibacterium prausnitzii,0.028995156476339413,0.22301529985121912
Phascolarctobacterium sp. CAG:266,0.03214923203701617,0.2330819322683672
Coprococcus comes,0.03503286542509367,0.2471237263770121
Agathobaculum butyriciproducens,0.04120087356340148,0.28298494736967855
Flavonifractor plautii,0.043754049038204706,0.2867591749359209
Bacteroides stercoris,0.04394776627370435,0.2867591749359209
Lachnoclostridium sp. An138,0.04619971233763852,0.294100607807894
Fretibacterium fastidiosum,0.048907753889175676,0.303926756311306
Intestinibacter bartlettii,0.05248263027008388,0.31855736047655564
Lachnospira pectinoschiza,0.05421514707919732,0.32159439517432953
Lawsonibacter asaccharolyticus,0.056251081265760484,0.3262562713414108
Bacteroides fragilis,0.05812149823756829,0.3297763269566375
Phascolarctobacterium faecium,0.06078603605298073,0.3375564980814462
Bilophila wadsworthia,0.06389184211516431,0.34741189150120594
Eubacterium sp. CAG:180,0.07223156482095731,0.3696556552601933
Escherichia coli,0.07034450766845429,0.3696556552601933
Prevotella sp. CAG:279,0.07106334754024597,0.3696556552601933
Alistipes inops,0.07769826610398056,0.38998552794497937
Gemella sanguinis,0.08093072481722706,0.3911651699499308
Parabacteroides sp. CAG:409,0.07949957394820346,0.3911651699499308
Hungatella hathewayi,0.08887435131526061,0.42174919442332764
Lachnoclostridium sp. An131,0.09134576078240024,0.42573649221797255
Schaalia odontolytica,0.09786897513340335,0.43078748072870787
Dorea longicatena,0.09746295794810059,0.43078748072870787
Roseburia sp. CAG:182,0.1006821315113072,0.43078748072870787
Intestinimonas butyriciproducens,0.09675964533062036,0.43078748072870787
Eisenbergiella tayi,0.09963254410894594,0.43078748072870787
Ruminococcus callidus,0.10696942392087751,0.4503067684411134
Mitsuokella jalaludinii,0.1120053232498883,0.4640220534638229
Bacteroides cellulosilyticus,0.13166767721193554,0.4840177993283827
Mogibacterium timidum,0.12921988445672092,0.4840177993283827
Monoglobus pectinilyticus,0.12397471759470599,0.4840177993283827
Actinomyces sp. oral taxon 181,0.13095922089911127,0.4840177993283827
Streptococcus milleri,0.1232890676477746,0.4840177993283827
Bacteroides faecis CAG:32,0.12821835706462933,0.4840177993283827
Prevotella copri,0.12975866597706534,0.4840177993283827
Phocaeicola massiliensis,0.12960042342823075,0.4840177993283827
Streptococcus thermophilus,0.1387165838259733,0.49595929285724705
[Eubacterium] infirmum,0.13779467593313172,0.49595929285724705
Clostridium sp. CAG:299,0.14515685569279,0.5045972345542576
Parabacteroides merdae,0.14693252806943902,0.5045972345542576
Mitsuokella multacida,0.14312503541555932,0.5045972345542576
Enterocloster lavalensis,0.149933470807633,0.5082160503998989
Parabacteroides distasonis,0.16196359395351703,0.5400798928105497
Streptococcus australis,0.16347245797713955,0.5400798928105497
Roseburia sp. CAG:471,0.1712784935074253,0.5515669569248924
Acidaminococcus intestini,0.1692281035701024,0.5515669569248924
Alistipes indistinctus,0.17328923550897002,0.5515669569248924
Roseburia faecis,0.18811081541381708,0.5723371193785944
Firmicutes bacterium CAG:94,0.1829430344306208,0.5723371193785944
