taxon,p-value,clr_diff,q_value
Peptostreptococcus stomatis,1.2959844892189761e-06,2.4732823833322946,0.0003382519516861528
Dialister pneumosintes,2.75637165185556e-05,2.321166401482477,0.002398043337114337
Fusobacterium nucleatum,1.8388289782483532e-05,1.7690078659982853,0.002398043337114337
Anaerostipes hadrus,0.000144280885542255,-1.8438447391087287,0.00941432778163214
Streptococcus salivarius,0.00020741229848888983,-2.1236926511001695,0.01082692198112005
Anaerobutyricum hallii,0.0003159356045241633,-1.5717950403075522,0.013743198796801104
Blautia wexlerae,0.000392525545332873,-1.6018163342630451,0.014635595333125693
Parvimonas micra,0.0006130955806426388,2.028745100230813,0.020002243318466093
Ruminococcus bicirculans,0.0008025943140202894,-2.524110517843485,0.023275235106588393
[Eubacterium] rectale,0.0010039926427946057,-1.810495148040041,0.023822007251762915
Lachnospira eligens,0.0010039926427946057,-2.0725397618055807,0.023822007251762915
Gemella morbillorum,0.0022823575897066755,1.4130990533069436,0.04964127757612019
Fusicatenibacter saccharivorans,0.0027536044239303546,-1.382736197150217,0.05133505390327304
Roseburia intestinalis,0.0026527862771936325,-1.9746065049370232,0.05133505390327304
Eubacterium ventriosum,0.0039722099861037976,-2.0208091486563093,0.06911645375820608
Desulfovibrio piger,0.005187684334260358,1.662137779015686,0.0846241007026221
Anaerotignum lactatifermentans,0.007083750781967012,1.28344880000657,0.10271438633852167
Dorea formicigenerans,0.006846009004207949,-1.375543395545289,0.10271438633852167
Bacteroides xylanisolvens,0.009580324848529338,-1.5033838699751463,0.1316034097613767
[Clostridium] symbiosum,0.01262984002186866,1.5903051658578684,0.15697086884322478
Ruminococcus bromii,0.01262984002186866,-1.5553201911476338,0.15697086884322478
Lachnoclostridium sp. An138,0.015756685699463438,0.6612108107375441,0.17880412902434598
Eubacterium ramulus,0.015512640207565265,-1.3373266059214226,0.17880412902434598
Fretibacterium fastidiosum,0.01676696066260588,0.582568171807478,0.18234069720583895
Solobacterium moorei,0.017833663817901826,1.2149027538403718,0.18618345025889504
Ruthenibacterium lactatiformans,0.01925031817693488,0.9915371032465874,0.19324357862230784
Bilophila wadsworthia,0.02446489330827925,1.08881156572872,0.19927637474976176
Alistipes inops,0.02519586347410781,0.9924347871854254,0.19927637474976176
Coprococcus comes,0.021079323743469765,-1.0942183820539109,0.19927637474976176
Phascolarctobacterium faecium,0.0217217619472726,1.2682073060461847,0.19927637474976176
Gemella sanguinis,0.02482804865145891,-0.8655481593946607,0.19927637474976176
Bifidobacterium longum,0.02446489330827925,-1.561068853813071,0.19927637474976176
Flavonifractor plautii,0.024106349990712865,1.4568700177878073,0.19927637474976176
Intestinibacter bartlettii,0.027905082880234366,-1.4586257498506638,0.21421254799238734
Bacteroides nordii,0.030423613920701864,1.021851424117369,0.21770090423780772
Streptococcus sp. A12,0.030423613920701864,-0.7408628494436953,0.21770090423780772
Phocaeicola plebeius,0.0308618140107237,0.9614829562378234,0.21770090423780772
Hungatella hathewayi,0.03220906866763573,1.4080389228378314,0.2212254453224454
Lachnoclostridium sp. An131,0.03505528196496577,0.7523499766168016,0.22315679494770893
Intestinimonas butyriciproducens,0.03360641091580709,1.1894543299038296,0.22315679494770893
Actinomyces sp. ICM47,0.03505528196496577,-0.7868655991969802,0.22315679494770893
Ruminococcaceae bacterium D5,0.03605054509076364,1.150012360913852,0.2240283873497455
Mogibacterium timidum,0.04196532468481219,0.6180629970946929,0.25471976145897635
Bacteroides faecis CAG:32,0.048681475444716724,0.1482945670879139,0.26110238514999545
[Eubacterium] infirmum,0.0499948016393236,0.4214621782989214,0.26110238514999545
Streptococcus sanguinis,0.052020398573945456,-0.8475897350975501,0.26110238514999545
Mitsuokella jalaludinii,0.050662525265380315,0.686306593626103,0.26110238514999545
Parabacteroides sp. CAG:409,0.0467658798895863,0.8309398255317721,0.26110238514999545
Escherichia coli,0.044310764721911845,1.5524032919113853,0.26110238514999545
Faecalibacterium prausnitzii,0.052020398573945456,-0.5395974303075448,0.26110238514999545
Parabacteroides merdae,0.04933447196566473,1.239702213930109,0.26110238514999545
Actinomyces sp. oral taxon 181,0.04933447196566473,0.5383257931731522,0.26110238514999545
Prevotella sp. CAG:279,0.0585130681664016,0.7831930345550128,0.28166534331994236
Schaalia odontolytica,0.06483635557325494,-0.5526864817005711,0.28166534331994236
Bacteroides fragilis,0.06650236876398394,1.2992627747831351,0.28166534331994236
Streptococcus australis,0.06483635557325494,-0.7661763836122537,0.28166534331994236
Roseburia sp. CAG:182,0.06906736387921958,0.5134331402495682,0.28166534331994236
Acidaminococcus intestini,0.06734850606085964,0.8001827789439933,0.28166534331994236
Streptococcus thermophilus,0.06004379478932312,-1.3651067845850997,0.28166534331994236
Mitsuokella multacida,0.06566500668855976,0.6320595632575599,0.28166534331994236
Enterocloster lavalensis,0.06240202704186496,0.8179602849942534,0.28166534331994236
Eisenbergiella tayi,0.06240202704186496,0.86206169459816,0.28166534331994236
Roseburia sp. CAG:471,0.06566500668855976,-1.0535950609496791,0.28166534331994236
Phascolarctobacterium sp. CAG:266,0.06820348294453939,0.8248293534511386,0.28166534331994236
Acidaminococcus fermentans,0.07082209622106064,0.38263998963261603,0.2843779555953358
Lawsonibacter asaccharolyticus,0.07630672130055109,0.6147428279423988,0.30175839787036113
Turicibacter sanguinis,0.08313813936528355,0.30098287635029386,0.3191037407991031
Blautia obeum,0.08313813936528355,-0.4695315458855749,0.3191037407991031
Clostridium sp. CAG:58,0.09599520190700654,0.8734805279201425,0.36311228547432906
Bacteroides salyersiae,0.09828517673595778,0.7690963534675708,0.3664633018297855
Catenibacterium mitsuokai,0.10541769856060831,0.27361490257346666,0.3875213989340672
Butyricimonas synergistica,0.10913485322320973,0.557231461937131,0.39561384293413526
Roseburia faecis,0.11955493629716141,-0.7126718003492911,0.4131379502810863
Coprobacter secundus,0.12227805986479152,0.4730743751077118,0.4131379502810863
Streptococcus milleri,0.11687955311472467,0.515254574557908,0.4131379502810863
Eubacterium sp. CAG:38,0.12091049956627326,-0.9678491000809737,0.4131379502810863
Lactobacillus paragasseri,0.12504941790117172,0.6463540225294155,0.4131379502810863
Tractidigestivibacter scatoligenes,0.12365767884005732,0.6979096263122376,0.4131379502810863
Dorea longicatena,0.12227805986479152,-0.4678378713589,0.4131379502810863
Paraprevotella clara,0.13513605832126852,0.336865557562676,0.44088139027313855
Ruminococcus callidus,0.13813047743732026,0.25650514729110574,0.44508709396469864
