taxon,p_value,clr_diff,q_value
Peptostreptococcus stomatis,2.258719879782005e-05,2.503800039100347,0.0058952588862310334
Parvimonas micra,7.482899070375992e-05,2.508686040369617,0.009765183286840671
[Eubacterium] rectale,0.00031737293378221427,-2.2906221695279756,0.02761144523905264
Fusobacterium nucleatum,0.0006416949969336447,1.6771278171690316,0.04187059854992032
Gemella morbillorum,0.0010163611938223446,1.7781827514532438,0.04421171193127199
Dialister pneumosintes,0.0009133783677575096,2.229286352653223,0.04421171193127199
Bacteroides nordii,0.002044917265193614,1.6914960849565444,0.07624620088793331
Gemmiger formicilis,0.004353711551465373,-1.3393325290129887,0.1420398393665578
Solobacterium moorei,0.007221197891147355,1.4432358557792266,0.2094147388432733
Roseburia intestinalis,0.010495088210929959,-1.866712267108359,0.22125378203447438
Lachnospira pectinoschiza,0.012189157925982384,-1.8764154719754607,0.22125378203447438
Faecalibacterium prausnitzii,0.011681996033208105,-0.8060933237392698,0.22125378203447438
Ruminococcaceae bacterium D5,0.012449980975229286,1.3134966414156644,0.22125378203447438
Agathobaculum butyriciproducens,0.012449980975229286,-1.373840611539345,0.22125378203447438
Fusicatenibacter saccharivorans,0.012715734599682435,-1.3618383082361851,0.22125378203447438
Eubacterium ventriosum,0.014121223083392948,-1.8265087380910792,0.2260065385031134
Actinomyces sp. ICM47,0.014720732392923094,-0.9834715482160101,0.2260065385031134
Eubacterium ramulus,0.01598740056108536,-1.6345975255068812,0.23181730813573773
[Ruminococcus] lactaris,0.016999333592696262,-1.9225226817927499,0.23351716145756443
Streptococcus salivarius,0.023862841211532683,-1.3521401789894085,0.31141007781050156
Ruthenibacterium lactatiformans,0.026292618352087578,1.0090375756219334,0.3267796852330885
Bacteroides fragilis,0.02893330481014886,1.6567639092211754,0.3432542070658569
Coprococcus comes,0.033011892673488426,-1.0258742993551841,0.35900433282418664
Dorea longicatena,0.0317991822643168,-1.1953511600728524,0.35900433282418664
Prevotella sp. CAG:279,0.038970719998191496,1.3169952897371862,0.4068543167811192
Dorea formicigenerans,0.04501151264387947,-1.5637319678888528,0.4518463384635593
Bacteroides stercoris,0.04917413923317924,-1.7796699804467917,0.4747156637693764
Escherichia coli,0.05092735090246184,1.4607540415660654,0.4747156637693764
[Clostridium] symbiosum,0.054591050725066585,1.5465436953172065,0.4913194565255993
Parabacteroides distasonis,0.059477278762951405,1.1791544107584055,0.5007603147461392
Streptococcus milleri,0.05847201543447758,0.753640958692146,0.5007603147461392
Bacteroides xylanisolvens,0.0680463640234579,-1.023386377029128,0.5381848790946215
Eisenbergiella tayi,0.0680463640234579,0.8876229631551996,0.5381848790946215
Erysipelatoclostridium ramosum,0.08411695247314237,1.0546868281011248,0.6423668041926942
Anaerobutyricum hallii,0.08963846428191466,-0.9858446587126743,0.6423668041926942
Blautia wexlerae,0.08823144533502679,-0.7319274800031814,0.6423668041926942
Butyricimonas virosa,0.09106349331467313,0.8372497814380269,0.6423668041926942
Roseburia hominis,0.0984640161387455,-0.918646071736593,0.6589514926208352
Streptococcus oralis,0.09694669770405358,0.9875173742651904,0.6589514926208352
Eubacterium sp. CAG:180,0.1015555139734196,-1.6854690301888096,0.6626497286765629
Mitsuokella jalaludinii,0.10962283938151547,0.7017498295571101,0.681227644727989
Roseburia faecis,0.10962283938151547,-0.8976705898049779,0.681227644727989
Monoglobus pectinilyticus,0.13297488231159263,-1.2076822002619074,0.6904714687888491
Lachnoclostridium sp. An138,0.12357458802738822,0.5902491304202726,0.6904714687888491
Fretibacterium fastidiosum,0.12357458802738822,0.46463580920598146,0.6904714687888491
Lachnoclostridium sp. An131,0.13491971229207397,0.7835952739554568,0.6904714687888491
Alistipes indistinctus,0.13105182623423073,0.9223709596447107,0.6904714687888491
Bilophila wadsworthia,0.13105182623423073,0.6541601941901982,0.6904714687888491
Mitsuokella multacida,0.13105182623423073,0.6625599261498303,0.6904714687888491
Eubacterium sp. CAG:274,0.12541192707783336,-1.2912378673878706,0.6904714687888491
Lactobacillus delbrueckii,0.11996301032742153,0.4929126762168572,0.6904714687888491
Roseburia inulinivorans,0.1429194787688919,-0.5935578065637221,0.690777480716311
Eubacterium sp. CAG:38,0.14088620183432693,-1.1665213101437277,0.690777480716311
Anaerostipes hadrus,0.14088620183432693,-0.9406045568104329,0.690777480716311
Bacteroides caccae,0.1491545003550506,-1.3152110555571341,0.6951665105833608
Holdemanella biformis,0.14705349753479033,0.9713817436209238,0.6951665105833608
Prevotella copri,0.1534251368114707,-1.3153403313866843,0.7025256264525238
Butyrivibrio sp. CAG:318,0.1622444630724187,0.4927943447072629,0.7301000838258841
Romboutsia ilealis,0.18846533803384802,0.5248614711329973,0.7473037322203423
Bacteroides eggerthii,0.1810224576910291,-0.9921652962255975,0.7473037322203423
Rothia mucilaginosa,0.21214463635808156,-0.5830489953408654,0.7473037322203423
Lachnospira eligens,0.21768672365707398,-0.7280236564880576,0.7473037322203423
Clostridium sp. CAG:58,0.2013677663824035,-0.9699043174929092,0.7473037322203423
Eisenbergiella massiliensis,0.21214463635808156,0.7078192259146077,0.7473037322203423
Faecalicoccus pleomorphus,0.22049647886856938,0.3236033083154841,0.7473037322203423
Hungatella hathewayi,0.2013677663824035,1.022157085421579,0.7473037322203423
Firmicutes bacterium CAG:110,0.1961315455442888,-1.0457156237538956,0.7473037322203423
Eubacterium limosum,0.17618320391942477,0.8541371272841785,0.7473037322203423
Enterocloster lavalensis,0.17380004959590545,0.661866164017327,0.7473037322203423
Intestinimonas butyriciproducens,0.17144106102533885,0.845413976325712,0.7473037322203423
Alistipes finegoldii,0.2233321498589529,0.633292940615692,0.7473037322203423
Actinomyces sp. oral taxon 448,0.1859597019043644,0.2508186942978039,0.7473037322203423
Turicibacter sanguinis,0.21768672365707398,0.6335021954609309,0.7473037322203423
[Eubacterium] infirmum,0.214902803708242,0.3578838585444215,0.7473037322203423
Phocaeicola massiliensis,0.2013677663824035,-0.5998882777738592,0.7473037322203423
Phascolarctobacterium faecium,0.2233321498589529,0.9697247869174996,0.7473037322203423
Sellimonas intestinalis,0.21768672365707398,0.6887590119455864,0.7473037322203423
Ruminococcus bicirculans,0.21214463635808156,-1.2619513971171084,0.7473037322203423
Bacteroides faecis CAG:32,0.229081550301659,0.4436351688556437,0.7568390459333291
Bacteroides thetaiotaomicron,0.23199542974705845,0.5138680419086015,0.7568850895497783
Megasphaera elsdenii,0.2379019050136617,0.5908613305103831,0.766572805044021
Leuconostoc pseudomesenteroides,0.24089463704664105,-0.5603316250152068,0.7667500032826015
Phocaeicola dorei,0.24695941265494425,-0.8239940071522645,0.7673381750350053
Christensenella hongkongensis,0.24695941265494425,0.35572964844115784,0.7673381750350053
Parabacteroides merdae,0.250031578078578,0.7085332414347141,0.7677440221001043
Eubacterium sp. OM08-24,0.25625575028440295,-0.6190137429962358,0.7687672508532089
Gemella haemolysans,0.25625575028440295,0.43397295282170734,0.7687672508532089
Alistipes inops,0.2722842967645568,0.6216360433475545,0.8075704710857877
Slackia isoflavoniconvertens,0.2889858157808002,-0.6530711054547813,0.819840194769444
Anaeromassilibacillus sp. An250,0.2855914645264167,0.42090226298049077,0.819840194769444
Methanobrevibacter smithii,0.2822241664330234,0.7907122065950818,0.819840194769444
Clostridium sp. CAG:299,0.2889858157808002,-0.6472512854431178,0.819840194769444
Butyrivibrio crossotus,0.2924072454102905,-1.455801670969949,0.8206267855062992
Streptococcus australis,0.2958557757769723,-0.44527890672213655,0.8214718880615933
Oscillibacter sp. 57_20,0.30283421375180763,-0.8630575971404049,0.8319971556760188
Tractidigestivibacter scatoligenes,0.3063641515880996,0.45551088746089785,0.8329275371301458
Bifidobacterium dentium,0.32075557645873354,0.8357546429907854,0.8383562057928834
Lactobacillus paragasseri,0.31350551840317287,0.45961844766647264,0.8383562057928834
Bacteroides faecis,0.32075557645873354,0.6070311024980921,0.8383562057928834
Roseburia sp. CAG:471,0.32442136699264834,-0.5543236316415732,0.8383562057928834
Victivallis vadensis,0.32442136699264834,0.1571589526517716,0.8383562057928834
Anaerotignum lactatifermentans,0.35084200360766293,0.7592668185135889,0.8557921770242992
Firmicutes bacterium CAG:95,0.3469862950969207,0.430302229528262,0.8557921770242992
Akkermansia muciniphila,0.3431576636347634,0.6400222454568198,0.8557921770242992
Firmicutes bacterium CAG:145,0.3469862950969207,-0.6196499239976863,0.8557921770242992
Enterocloster asparagiformis,0.35084200360766293,0.26108400097896234,0.8557921770242992
Ruminococcus bromii,0.3355817219674725,0.7370925818686871,0.8557921770242992
[Clostridium] innocuum,0.35472476262307806,0.7363802111355163,0.8572515096724387
Mogibacterium timidum,0.3625713098007194,0.41745653854836795,0.8681753381466767
Roseburia sp. CAG:309,0.395031956445302,0.1287518030595528,0.8829974657164156
Enterocloster aldenensis,0.395031956445302,0.7474122094167372,0.8829974657164156
Ruminococcus callidus,0.38675639233014825,-0.7817597056696064,0.8829974657164156
Blautia hydrogenotrophica,0.3992095822012913,-0.1417991560702836,0.8829974657164156
Phascolarctobacterium sp. CAG:266,0.38675639233014825,-0.9110867271752313,0.8829974657164156
Streptococcus sp. F0442,0.38675639233014825,0.08720829055873192,0.8829974657164156
Lactobacillus rogosae,0.38675639233014825,-0.5846434966348923,0.8829974657164156
Streptococcus sanguinis,0.3992095822012913,0.41200968486049305,0.8829974657164156
Streptococcus vestibularis,0.3826585765676086,-0.3989392802659594,0.8829974657164156
Firmicutes bacterium CAG:83,0.41618412116236514,-0.6226600265826927,0.8977194679617958
Flavonifractor plautii,0.4119010274345124,0.27688051109481027,0.8977194679617958
Butyricimonas synergistica,0.41618412116236514,0.24090328720046383,0.8977194679617958
Parasutterella excrementihominis,0.42049339032054767,0.28428085163964995,0.89958012191527
Bacteroides cellulosilyticus,0.42482875142005017,-0.7881201730243894,0.9014658871596187
[Clostridium] spiroforme,0.4335773982576566,-0.43602771760519143,0.9072660352398285
Paraprevotella clara,0.4379904997709517,0.23716851764659008,0.9072660352398285
Eubacteriaceae bacterium CHKCI005,0.4379904997709517,0.25231803260741836,0.9072660352398285
Mogibacterium diversum,0.4742124557821893,0.2903636225016676,0.9079017097816063
Phocaeicola vulgatus,0.4695965821496265,0.2003887834525786,0.9079017097816063
Massilimicrobiota timonensis,0.47885314960614966,0.5974143432036687,0.9079017097816063
Coprobacter secundus,0.4835185350944188,0.13047823858087637,0.9079017097816063
Adlercreutzia equolifaciens,0.4604397922276855,-0.5119190980384742,0.9079017097816063
Enorma massiliensis,0.4650056537681513,0.4149534338341498,0.9079017097816063
Lancefieldella parvula,0.4650056537681513,0.3454309357394938,0.9079017097816063
Lancefieldella rimae,0.4513837386719427,0.2599605733184778,0.9079017097816063
Enterococcus faecalis,0.4558991156468042,-0.6644577953470283,0.9079017097816063
Enterococcus faecium,0.4742124557821893,-0.4536155951290183,0.9079017097816063
Paraprevotella xylaniphila,0.4835185350944188,0.3668902396979598,0.9079017097816063
Phocaeicola plebeius,0.4742124557821893,-0.3758237681955495,0.9079017097816063
Bacteroides salyersiae,0.4835185350944188,0.6928544018761111,0.9079017097816063
Clostridium disporicum,0.492922849638307,0.3352824407156074,0.918949026825701
Clostridium sp. CAG:253,0.49766150433520584,-0.6898848383429866,0.9212032101524023
Bifidobacterium pseudocatenulatum,0.5120217395299996,0.11187423604274649,0.934529188932377
[Eubacterium] siraeum,0.5120217395299996,0.45745817340163253,0.934529188932377
Actinomyces graevenitzii,0.5563643670104818,0.03728540412800552,0.9368458050950692
Eubacterium sp. CAG:251,0.5217139546669562,0.4092263125319667,0.9368458050950692
Gemella sanguinis,0.5265952114935756,-0.1868539152868613,0.9368458050950692
Dialister invisus,0.551346371083799,0.204159722508358,0.9368458050950692
Desulfovibrionaceae bacterium,0.5463507268906653,0.17249948234229984,0.9368458050950692
Bacteroides sp. CAG:144,0.5314996850991867,0.36340395805515857,0.9368458050950692
Bifidobacterium adolescentis,0.5563643670104818,-0.5650270567732281,0.9368458050950692
Blautia coccoides,0.5314996850991867,0.6005723839547612,0.9368458050950692
Bacteroides ovatus,0.5563643670104818,0.35946705801779766,0.9368458050950692
Actinomyces naeslundii,0.5563643670104818,0.12316212474757338,0.9368458050950692
Bacteroides clarus,0.5217139546669562,0.45454097751105793,0.9368458050950692
Proteobacteria bacterium CAG:139,0.5563643670104818,-0.15482818143803367,0.9368458050950692
Lactobacillus gasseri,0.6077317843698709,0.20554392157609058,0.9687892012867615
Firmicutes bacterium CAG:238,0.6502860762445752,-0.23833251968226443,0.9687892012867615
Veillonella infantium,0.5972903441737089,0.22310270204087979,0.9687892012867615
Streptococcus thermophilus,0.6720105419299263,-0.3747024476279923,0.9687892012867615
Christensenella minuta,0.6720105419299263,0.5543872914232455,0.9687892012867615
