taxon,mw_q_value,mw_clr_diff,ancombc_q_value,ancombc_log2fc
Peptostreptococcus stomatis,0.0003382519516861528,2.4732823833322946,0.00010068280211979975,1.632281722853539
Dialister pneumosintes,0.002398043337114337,2.321166401482477,0.000263211847214731,1.4520984938074677
Fusobacterium nucleatum,0.002398043337114337,1.7690078659982853,0.0016000832703828788,0.9400663556439688
Anaerostipes hadrus,0.00941432778163214,-1.8438447391087287,0.002616522603216892,-1.5277234022480912
Streptococcus salivarius,0.01082692198112005,-2.1236926511001695,0.0016000832703828788,-1.626892056197268
Anaerobutyricum hallii,0.013743198796801104,-1.5717950403075522,0.010480695703843426,-1.4266703239412448
Blautia wexlerae,0.014635595333125693,-1.6018163342630451,0.010480695703843426,-1.3165596993825603
Parvimonas micra,0.020002243318466093,2.028745100230813,0.0004090382451757752,1.7684489544779787
Ruminococcus bicirculans,0.023275235106588393,-2.524110517843485,0.006532622450349326,-1.984358627141133
[Eubacterium] rectale,0.023822007251762915,-1.810495148040041,0.04552348830873774,-1.606875308898633
Lachnospira eligens,0.023822007251762915,-2.0725397618055807,0.02025721177872379,-1.7919209003398844
Gemella morbillorum,0.04964127757612019,1.4130990533069436,0.010443380836682992,1.0428888848963014
